id,milage,brand,model,fuel,gear,offerType,price,horse power,year,engine size,doors,seats,previous owner,color,category,image url
268,20,Fiat,500,Gasoline,Manual,Pre-registered,12290,69.0,2021,3.8,2,4,2,Red,SUV,https://example.com/image.jpg
269,1600,Land,Rover Discovery,Diesel,Automatic,Used,44890,241.0,2019,2.4,2,2,0,Blue,Pickup,https://example.com/image.jpg
270,115162,Skoda,Octavia,Diesel,Manual,Used,8980,110.0,2016,2.2,2,2,3,Gray,Hatchback,https://example.com/image.jpg
271,7781,Mercedes-Benz,A 200,Gasoline,Automatic,Used,31480,163.0,2020,4.2,4,4,2,Green,Sports Car,https://example.com/image.jpg
272,48500,Mitsubishi,Space Star,Gasoline,Manual,Used,6990,71.0,2019,4.2,4,2,3,Silver,Sedan,https://example.com/image.jpg
273,70120,MINI,Cooper S,Gasoline,Manual,Used,15950,192.0,2016,4.5,4,2,1,Gray,Pickup,https://example.com/image.jpg
274,103632,Citroen,C5,Diesel,Manual,Used,12890,150.0,2015,4.7,4,2,2,Red,Pickup,https://example.com/image.jpg
275,47965,Renault,Clio,Gasoline,Manual,Used,5800,75.0,2012,3.0,4,2,3,Gray,Luxury,https://example.com/image.jpg
276,106700,BMW,320,Diesel,Manual,Used,10990,184.0,2012,3.0,2,4,3,Silver,SUV,https://example.com/image.jpg
277,49689,Jaguar,XE,Diesel,Automatic,Used,22750,179.0,2017,4.2,2,4,1,White,Pickup,https://example.com/image.jpg
278,81100,Ford,Mondeo,Gasoline,Manual,Used,9990,160.0,2012,3.6,2,4,3,Red,Pickup,https://example.com/image.jpg
279,83526,Volkswagen,Golf,Diesel,Manual,Used,15950,116.0,2018,3.8,2,4,3,White,Sports Car,https://example.com/image.jpg
280,10,Hyundai,i10,Gasoline,Manual,Pre-registered,11330,67.0,2021,4.2,4,2,1,Black,Sports Car,https://example.com/image.jpg
281,143120,Opel,Insignia,Diesel,Manual,Used,8900,194.0,2012,4.6,2,2,2,White,Hatchback,https://example.com/image.jpg
282,58000,Chevrolet,Spark,Gasoline,Manual,Used,3600,68.0,2013,2.4,4,4,3,Black,Sedan,https://example.com/image.jpg
283,299800,Volkswagen,Passat Variant,Diesel,Automatic,Used,7890,177.0,2014,2.5,2,4,3,Black,Luxury,https://example.com/image.jpg
284,46949,Toyota,Avensis,Gasoline,Manual,Used,11990,147.0,2013,1.4,4,4,3,White,Sedan,https://example.com/image.jpg
285,10572,Opel,Corsa,Gasoline,Manual,Employee's car,13490,75.0,2020,3.3,4,2,0,Red,Hatchback,https://example.com/image.jpg
286,7262,SEAT,Ibiza,Gasoline,Manual,Used,17500,95.0,2019,1.1,2,4,1,Silver,Sports Car,https://example.com/image.jpg
287,5000,Opel,Mokka,Gasoline,Automatic,Demonstration,29245,131.0,2021,2.9,2,4,0,Gray,SUV,https://example.com/image.jpg
288,148113,Volkswagen,Golf Variant,Diesel,Automatic,Used,11950,150.0,2015,3.2,2,4,1,Gray,Sports Car,https://example.com/image.jpg
289,112,Dacia,Duster,Gasoline,Manual,Pre-registered,15980,101.0,2021,2.1,2,2,2,Silver,Luxury,https://example.com/image.jpg
290,33000,Kia,Picanto,Gasoline,Manual,Used,6390,65.0,2016,3.4,4,2,2,Green,Sports Car,https://example.com/image.jpg
291,112600,Nissan,NV200,Diesel,Manual,Used,7140,90.0,2015,1.1,2,2,3,Green,Luxury,https://example.com/image.jpg
292,67600,Volvo,XC90,Diesel,Automatic,Used,38750,235.0,2017,1.1,2,2,1,Black,Luxury,https://example.com/image.jpg
293,11500,Skoda,Fabia,Gasoline,Manual,Used,9999,60.0,2016,4.3,4,2,2,Black,Luxury,https://example.com/image.jpg
294,180000,Opel,Meriva,Gasoline,Manual,Used,3499,120.0,2011,2.4,2,2,1,Red,Hatchback,https://example.com/image.jpg
295,5,Fiat,Tipo,Gasoline,Manual,Pre-registered,14390,95.0,2020,1.5,2,2,2,Blue,Luxury,https://example.com/image.jpg
296,25000,Renault,Captur,Gasoline,Manual,Used,11200,90.0,2019,3.1,2,2,0,White,Luxury,https://example.com/image.jpg
297,61455,Ford,Kuga,Gasoline,Manual,Used,19990,150.0,2018,4.1,2,4,2,Black,SUV,https://example.com/image.jpg
298,181000,Peugeot,208,Diesel,Manual,Used,4900,114.0,2012,1.9,2,4,0,Gray,Sedan,https://example.com/image.jpg
299,57515,Renault,Megane,Diesel,Manual,Used,12490,110.0,2018,3.5,4,2,2,Red,Pickup,https://example.com/image.jpg
300,38016,Renault,Clio,Gasoline,Manual,Used,8990,76.0,2019,1.3,2,2,3,White,Sedan,https://example.com/image.jpg
301,5000,Opel,Mokka,Electric,Automatic,Demonstration,32495,136.0,2021,1.2,2,4,0,Red,Luxury,https://example.com/image.jpg
302,44600,Volkswagen,Polo,Gasoline,Manual,Employee's car,13490,95.0,2020,3.1,2,2,2,White,SUV,https://example.com/image.jpg
303,58000,Opel,Insignia,Diesel,Manual,Used,16700,170.0,2016,3.2,2,2,3,White,Sports Car,https://example.com/image.jpg
304,50,Hyundai,i10,Gasoline,Manual,Pre-registered,13790,67.0,2021,3.5,2,2,0,Silver,SUV,https://example.com/image.jpg
305,75850,Lancia,Ypsilon,Gasoline,Manual,Used,3750,69.0,2012,3.9,4,4,3,Black,Luxury,https://example.com/image.jpg
306,22032,Renault,Clio,Gasoline,Automatic,Used,16690,131.0,2020,4.9,2,4,1,Red,SUV,https://example.com/image.jpg
307,110000,Toyota,Aygo,Gasoline,Manual,Used,5780,69.0,2016,3.1,4,4,1,Red,SUV,https://example.com/image.jpg
308,250000,BMW,320,Diesel,Automatic,Used,10490,184.0,2012,2.3,4,4,0,Silver,Luxury,https://example.com/image.jpg
309,30405,Ford,Focus,Gasoline,Manual,Used,16790,182.0,2016,4.2,2,4,2,Gray,Hatchback,https://example.com/image.jpg
310,87760,Volkswagen,Golf,Gasoline,Manual,Used,6990,122.0,2011,2.1,2,2,0,Gray,SUV,https://example.com/image.jpg
311,62000,Volkswagen,Golf Cabriolet,Gasoline,Manual,Used,9950,105.0,2013,2.8,2,4,3,Green,Pickup,https://example.com/image.jpg
312,63000,Renault,Kadjar,Diesel,Manual,Used,12750,131.0,2015,1.3,2,2,2,Black,Pickup,https://example.com/image.jpg
313,19600,Volkswagen,Tiguan,Gasoline,Automatic,Used,27220,150.0,2020,1.1,4,2,1,Black,SUV,https://example.com/image.jpg
314,7,Ford,Fiesta,Gasoline,,Pre-registered,16710,95.0,2020,4.9,2,4,2,Blue,Hatchback,https://example.com/image.jpg
315,19666,smart,forFour,Gasoline,Automatic,Used,9999,71.0,2016,4.3,2,4,1,Silver,Sports Car,https://example.com/image.jpg
316,18587,Skoda,Fabia,Gasoline,Manual,Used,9930,60.0,2018,3.8,2,2,2,Gray,Luxury,https://example.com/image.jpg
317,10,Fiat,500,Electric/Gasoline,Manual,Pre-registered,13221,69.0,2021,2.6,2,2,2,White,Pickup,https://example.com/image.jpg
318,79000,Ford,Transit,Diesel,Manual,Used,9890,86.0,2011,1.7,2,2,2,Red,Sports Car,https://example.com/image.jpg
319,313000,Audi,A7,Diesel,Automatic,Used,13899,245.0,2012,1.6,2,4,3,Black,SUV,https://example.com/image.jpg
320,128680,Mercedes-Benz,C 220,Diesel,Automatic,Used,21700,170.0,2016,2.0,4,4,3,Red,Sports Car,https://example.com/image.jpg
321,125000,Mercedes-Benz,E 220,Diesel,Automatic,Used,34499,194.0,2017,3.2,4,4,0,Red,Sedan,https://example.com/image.jpg
322,70000,Volkswagen,Golf,Diesel,Manual,Used,10900,105.0,2013,3.9,2,4,0,Blue,Pickup,https://example.com/image.jpg
323,135000,Mercedes-Benz,C 220,Diesel,Manual,Used,15990,170.0,2012,3.6,2,4,1,Gray,SUV,https://example.com/image.jpg
324,142000,Renault,Twingo,Gasoline,Manual,Used,3499,75.0,2013,2.1,2,2,3,Black,Luxury,https://example.com/image.jpg
325,115000,Volkswagen,Golf,Gasoline,Automatic,Used,10990,105.0,2013,4.8,4,4,1,Red,Hatchback,https://example.com/image.jpg
326,69000,Toyota,Avensis,Gasoline,Manual,Used,6999,132.0,2011,4.0,2,2,0,Black,SUV,https://example.com/image.jpg
327,98372,Ford,Fiesta,Gasoline,Manual,Used,8490,101.0,2013,3.2,4,2,1,White,Luxury,https://example.com/image.jpg
328,80000,Opel,Adam,Gasoline,Manual,Used,7290,87.0,2013,3.4,2,2,0,Blue,Hatchback,https://example.com/image.jpg
329,67000,Toyota,Verso,Gasoline,Manual,Used,11890,147.0,2014,2.7,2,4,3,White,Hatchback,https://example.com/image.jpg
330,5,Hyundai,Tucson,Gasoline,Automatic,Demonstration,33990,230.0,2021,2.0,2,4,2,Black,SUV,https://example.com/image.jpg
331,89750,Volkswagen,Passat,Diesel,Manual,Used,14989,120.0,2017,2.4,2,4,3,Green,Sports Car,https://example.com/image.jpg
332,51355,Renault,Twizy,Electric,Automatic,Used,4990,5.0,2017,4.0,4,2,1,Black,Sports Car,https://example.com/image.jpg
333,98300,Ford,Fiesta,Gasoline,Manual,Used,6000,65.0,2013,1.1,4,2,1,Gray,Hatchback,https://example.com/image.jpg
334,12110,Volkswagen,Golf Sportsvan,Diesel,Manual,Employee's car,24980,116.0,2020,1.5,2,2,3,Red,Sports Car,https://example.com/image.jpg
335,230000,Volkswagen,Passat Variant,Diesel,Automatic,Used,8950,140.0,2013,1.2,2,2,3,Red,Sedan,https://example.com/image.jpg
336,10,Skoda,Octavia,Gasoline,Manual,Pre-registered,19790,116.0,2020,1.2,4,2,0,White,Hatchback,https://example.com/image.jpg
337,98000,Volkswagen,Tiguan,Gasoline,Manual,Used,11975,160.0,2013,4.4,4,2,1,Blue,Hatchback,https://example.com/image.jpg
338,10200,Kia,Soul,Electric,Automatic,Used,21860,110.0,2017,3.8,4,4,1,Green,Luxury,https://example.com/image.jpg
339,44374,Porsche,Panamera,Gasoline,Automatic,Used,59900,441.0,2016,2.9,4,4,3,Silver,Sports Car,https://example.com/image.jpg
340,94241,Ford,Edge,Diesel,Automatic,Used,27900,209.0,2018,1.4,2,4,2,Red,Hatchback,https://example.com/image.jpg
341,162569,Peugeot,Bipper,Gasoline,Manual,Used,5590,73.0,2012,3.0,4,4,1,Gray,Sedan,https://example.com/image.jpg
342,52500,Kia,ProCeed / pro_cee'd,Gasoline,Manual,Used,12500,204.0,2014,2.9,2,2,2,White,Luxury,https://example.com/image.jpg
343,37800,Opel,Corsa,Gasoline,Automatic,Used,7950,101.0,2011,1.7,4,2,3,White,SUV,https://example.com/image.jpg
344,112231,Nissan,Qashqai,Diesel,Manual,Used,10900,110.0,2015,2.7,4,4,3,Silver,Hatchback,https://example.com/image.jpg
345,139000,Fiat,500,Diesel,Manual,Used,6250,95.0,2014,2.6,4,2,0,Gray,Sedan,https://example.com/image.jpg
346,9885,Kia,Stonic,Gasoline,Manual,Used,17450,120.0,2019,3.5,4,4,1,Blue,Pickup,https://example.com/image.jpg
347,139840,Ford,Focus,Gasoline,Manual,Used,6799,125.0,2013,3.5,4,4,2,Gray,Sedan,https://example.com/image.jpg
348,67561,Skoda,Citigo,Gasoline,Manual,Used,6800,60.0,2016,1.2,2,4,0,Blue,Sedan,https://example.com/image.jpg
349,15721,Audi,Q3,Diesel,Automatic,Employee's car,39280,150.0,2020,2.5,2,2,1,Gray,Luxury,https://example.com/image.jpg
350,10,Ford,Kuga,Gasoline,Manual,Employee's car,25970,150.0,2020,3.5,4,4,0,Gray,SUV,https://example.com/image.jpg
351,81971,Volkswagen,Golf,Diesel,Automatic,Used,22755,184.0,2017,3.0,4,4,3,Black,Pickup,https://example.com/image.jpg
352,200000,Mercedes-Benz,C 200,Diesel,Manual,Used,9950,136.0,2013,4.4,2,4,1,White,Sports Car,https://example.com/image.jpg
353,21500,Hyundai,i20,Gasoline,Manual,Used,11250,101.0,2019,3.6,4,2,0,Gray,Sports Car,https://example.com/image.jpg
354,10,Volkswagen,Polo,Gasoline,Automatic,Employee's car,25949,150.0,2021,1.7,4,2,0,Silver,Sedan,https://example.com/image.jpg
355,78000,Skoda,Fabia,Gasoline,Manual,Used,7500,105.0,2011,1.3,2,4,2,Gray,Luxury,https://example.com/image.jpg
356,83008,Volkswagen,up!,Gasoline,Manual,Used,7870,75.0,2016,3.6,4,2,0,Red,Luxury,https://example.com/image.jpg
357,61590,Fiat,500,Gasoline,Manual,Used,5900,69.0,2012,1.1,4,2,1,White,Sports Car,https://example.com/image.jpg
358,84000,Opel,Adam,Gasoline,Manual,Used,7200,101.0,2014,3.3,2,2,1,Red,Pickup,https://example.com/image.jpg
359,1000,Dacia,Sandero,Gasoline,Manual,Demonstration,13590,101.0,2021,4.8,2,2,2,White,SUV,https://example.com/image.jpg
360,67040,Toyota,Aygo,Gasoline,Manual,Used,4800,68.0,2013,3.3,2,2,1,Red,Pickup,https://example.com/image.jpg
361,100,Renault,Twingo,Gasoline,Manual,Pre-registered,11480,65.0,2021,2.6,4,2,3,Gray,Hatchback,https://example.com/image.jpg
362,28174,Hyundai,Tucson,Diesel,Automatic,Used,24990,141.0,2018,3.6,2,2,1,Gray,Hatchback,https://example.com/image.jpg
363,24000,Fiat,500C,Gasoline,Manual,Used,12900,86.0,2018,2.8,2,2,1,Black,SUV,https://example.com/image.jpg
364,5,Toyota,Yaris,Gasoline,Manual,Pre-registered,14880,72.0,2021,3.2,2,2,0,Silver,Sports Car,https://example.com/image.jpg
365,8650,Ford,Kuga,Diesel,Automatic,Employee's car,28980,179.0,2019,4.8,2,2,0,Red,SUV,https://example.com/image.jpg
366,80870,Subaru,XV,Diesel,Manual,Used,10990,147.0,2013,2.5,2,4,1,Blue,Luxury,https://example.com/image.jpg
367,22000,Volkswagen,Caddy,Diesel,Automatic,Demonstration,24900,102.0,2019,4.8,2,4,2,Black,Hatchback,https://example.com/image.jpg
368,2100,Mazda,MX-5,Gasoline,Manual,Demonstration,28850,132.0,2020,4.6,4,2,0,Red,Sedan,https://example.com/image.jpg
369,239448,Mercedes-Benz,A 180,Diesel,Manual,Used,3490,109.0,2011,1.8,4,4,2,Red,Sedan,https://example.com/image.jpg
370,10247,Mitsubishi,Space Star,Gasoline,Manual,Used,8785,71.0,2019,1.3,2,4,1,Black,Sports Car,https://example.com/image.jpg
371,13000,Opel,Corsa,Gasoline,Manual,Used,11880,90.0,2018,1.4,2,2,1,Gray,Luxury,https://example.com/image.jpg
372,10,Fiat,500,Electric/Gasoline,Manual,Pre-registered,13590,69.0,2021,1.1,2,2,3,Red,Pickup,https://example.com/image.jpg
373,132000,Skoda,Fabia,Diesel,Manual,Used,5499,105.0,2013,1.4,4,2,0,Gray,Luxury,https://example.com/image.jpg
374,74970,BMW,116,Diesel,Manual,Used,15980,116.0,2019,3.7,4,4,1,Black,Sedan,https://example.com/image.jpg
375,43000,Opel,Corsa,Gasoline,Manual,Used,6997,69.0,2014,1.3,4,4,3,Gray,Sedan,https://example.com/image.jpg
376,22440,Audi,A5,Gasoline,Automatic,Used,38740,190.0,2020,2.3,4,2,0,White,Hatchback,https://example.com/image.jpg
377,46949,Toyota,Avensis,Gasoline,Manual,Used,11990,147.0,2013,1.4,4,4,3,White,Sedan,https://example.com/image.jpg
378,135000,Skoda,Octavia,Diesel,Manual,Used,7498,105.0,2011,4.2,4,4,1,Silver,Sports Car,https://example.com/image.jpg
379,4800,Ford,EcoSport,Gasoline,Manual,Used,18950,125.0,2020,2.6,4,4,0,Black,Sports Car,https://example.com/image.jpg
380,287000,Ford,S-Max,Diesel,Manual,Used,7490,200.0,2014,3.6,2,2,1,Green,Sports Car,https://example.com/image.jpg
381,97673,Opel,Zafira,Gasoline,Manual,Used,7749,140.0,2011,4.6,2,4,1,Red,Sedan,https://example.com/image.jpg
382,29729,Volkswagen,up!,Gasoline,Manual,Used,13333,116.0,2018,1.4,4,4,2,Green,Pickup,https://example.com/image.jpg
383,75850,Lancia,Ypsilon,Gasoline,Manual,Used,3750,69.0,2012,3.9,4,4,3,Black,Luxury,https://example.com/image.jpg
384,39000,Mazda,2,Gasoline,Manual,Used,13270,90.0,2018,3.2,4,4,3,Gray,SUV,https://example.com/image.jpg
385,6315,Ford,Fiesta,Electric/Gasoline,Manual,Employee's car,16450,125.0,2020,4.6,2,2,2,Gray,Sports Car,https://example.com/image.jpg
386,63000,Renault,Kadjar,Diesel,Manual,Used,12750,131.0,2015,1.3,2,2,2,Black,Pickup,https://example.com/image.jpg
387,90362,Skoda,Citigo,Gasoline,Manual,Used,6350,75.0,2016,2.0,2,2,3,Blue,Sedan,https://example.com/image.jpg
388,22000,Volkswagen,Caddy,Diesel,Automatic,Demonstration,24900,102.0,2019,4.8,2,4,2,Black,Hatchback,https://example.com/image.jpg
389,92115,Volkswagen,Arteon,Gasoline,Automatic,Used,28487,280.0,2018,1.4,4,4,0,Blue,SUV,https://example.com/image.jpg
390,82470,BMW,320,Diesel,Automatic,Used,15500,184.0,2012,4.0,2,4,1,White,Pickup,https://example.com/image.jpg
391,75000,MINI,Cooper,Gasoline,Manual,Used,10500,122.0,2013,2.2,2,4,0,Gray,Luxury,https://example.com/image.jpg
392,10247,Mitsubishi,Space Star,Gasoline,Manual,Used,8785,71.0,2019,1.3,2,4,1,Black,Sports Car,https://example.com/image.jpg
393,12110,Volkswagen,Golf Sportsvan,Diesel,Manual,Employee's car,24980,116.0,2020,1.5,2,2,3,Red,Sports Car,https://example.com/image.jpg
394,27000,BMW,540,Gasoline,Automatic,Used,37900,340.0,2018,3.0,4,2,2,Black,Hatchback,https://example.com/image.jpg
395,11500,Skoda,Fabia,Gasoline,Manual,Used,9999,60.0,2016,4.3,4,2,2,Black,Luxury,https://example.com/image.jpg
396,98000,Skoda,Rapid/Spaceback,Gasoline,Automatic,Used,8990,90.0,2017,2.2,2,4,0,Blue,Sports Car,https://example.com/image.jpg
397,58000,Chevrolet,Spark,Gasoline,Manual,Used,3600,68.0,2013,2.4,4,4,3,Black,Sedan,https://example.com/image.jpg
398,10572,Opel,Corsa,Gasoline,Manual,Employee's car,13490,75.0,2020,3.3,4,2,0,Red,Hatchback,https://example.com/image.jpg
399,25699,Mercedes-Benz,V 250,Diesel,Automatic,Employee's car,63336,190.0,2020,2.5,4,4,2,Silver,Luxury,https://example.com/image.jpg
400,24950,Ford,Ka/Ka+,Gasoline,Manual,Used,4990,69.0,2011,4.6,2,4,1,Green,Hatchback,https://example.com/image.jpg
